ID,Description,Fold_Enrichment_Score,Count,pvalue,p.adjust,geneID
hsa04520,Adherens junction,4.607149624202615,9,1.2992635226125366e-4,0.034560409701493475,CSNK2A2/MET/TGFBR1/PTPRB/MAP3K7/YES1/ACTG1/PTPN1/CSNK2B
hsa04070,Phosphatidylinositol signaling system,3.7469372659608893,10,3.1507650032040654e-4,0.04190517454261407,MTMR3/IMPAD1/PLCD4/PIK3CA/MTMR6/PIP4K2A/CDS1/INPPL1/MTM1/CALML5
